Input, OSD0, OSD1, OSD2
1592,99,60,121
1593,77,46,60
1594,111,98,115
1595,127,46,14
1596,111,77,55
1597,81,30,34
1598,7,62,87
1599,40,36,53
1600,3,104,36
1601,107,17,87
1602,43,103,92
1603,120,1,92
1604,86,121,14
1605,83,79,123
1606,116,60,96
1607,53,126,43
1608,75,83,27
1609,0,66,78
1610,97,112,24
1611,21,117,45
1612,94,39,58
1613,71,80,13
1614,28,52,65
1615,100,82,77
1616,79,106,3
1617,47,104,113
1618,36,24,22
1619,124,51,82
1620,45,36,113
1621,103,33,48
1622,121,74,105
1623,108,51,79
1624,8,39,28
1625,2,117,42
1626,13,65,73
1627,55,47,38
1628,10,51,85
1629,1,29,114
1630,71,103,10
1631,30,46,15
1632,28,99,40
1633,11,87,58
1634,83,17,1
1635,26,83,5
1636,113,43,93
1637,64,89,27
1638,60,39,14
1639,17,96,9
1640,113,124,87
1641,49,12,102
1642,64,79,119
1643,60,102,27
1644,68,57,50
1645,68,51,82
1646,50,79,47
1647,100,119,20
1648,70,4,57
1649,55,78,33
1650,99,47,109
1651,33,23,27
1652,92,100,59
1653,34,114,16
